element_type,osmid,amenity,diet:vegan,diet:vegetarian,name,opening_hours,organic,website,wheelchair,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,phone,cuisine,source,source:date,old_name,toilets:wheelchair,brand,brand:wikidata,brand:wikipedia,email,delivery,description,smoking,takeaway,shop,survey:date,url,addr:housename,outdoor_seating,branch,facebook,image,mapillary,capacity,note,contact:phone,operator,payment:bitcoin,phone_1,bar,diet:mediterranean,diet:non-vegetarian,diet:omnivore,opening_hours:covid19,reservation,contact:email,contact:website,name:en,name:nl,ref:bag,alt_name,level,name:yue,name:zh,internet_access,diet:meat,name:es,short_name,craft,wikidata,wikipedia,check_date:opening_hours,vegan,payment:cash,payment:cryptocurrencies,payment:maestro,payment:visa_electron,delivery:covid19,microbrewery,toilets,fax,nodes,building,start_date,layer,note:BAG,fixme,indoor
node,27298196,restaurant,yes,only,Eetcafé Hagedis,Th-Su 17:00-21:00,only,https://www.restauranthagedis.nl/en/,limited,POINT (4.2928326 52.0784108),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,439293438,restaurant,,,Callao,,,,,POINT (4.265475 52.0949235),'s-Gravenhage,NL,29,2583CL,Doctor Lelykade,070 354 10 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,508503542,restaurant,,,De Chinese Muur,,,www.chinesemuurdenhaag.nl,,POINT (4.3483548 52.0562637),'s-Gravenhage,,16,,Jan Thijssenweg,0703992776,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,568098185,restaurant,,,Ming Dynasty,,,,,POINT (4.3175066 52.0765756),'s-Gravenhage,,170,2511BW,Spui,,chinese,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,568113932,restaurant,,,Momiji Sushi,,,www.momijisushi.nl,,POINT (4.3144681 52.0761389),'s-Gravenhage,,1,2512HJ,Rabbijn Maarsenplein,,japanese,BAG,2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,581887390,restaurant,,,Zirve Restaurant,,,https://zirve-restaurant.nl/,,POINT (4.3272016 52.079856),'s-Gravenhage,,571,2595TZ,Jan van Riebeekstraat,,turkish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,582448865,restaurant,,,Long Ting,,,,,POINT (4.3142697 52.0748292),,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,582448870,restaurant,,,Song Phi Nong,,,www.song-phi-nong.nl,,POINT (4.3157097 52.0740235),,,,,,,thai,www.hetlint.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,582448874,restaurant,,,New Sing Kee,,,www.singkee.nl,,POINT (4.3124468 52.0757507),,,,,,,chinese,www.hetlint.nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,582700595,restaurant,,,Naga Thai,,,,,POINT (4.274959 52.0897577),,,,,,,thai,,,Yang Sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,590877621,restaurant,,,Hashi,,,,,POINT (4.3423731 52.0811401),,,,,,,chinese,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632798016,restaurant,,,De Kleine Prins,,,,,POINT (4.3147315 52.0785162),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632798023,restaurant,,,Balkan Grill,,,,,POINT (4.3152665 52.0783679),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632827625,restaurant,,,Square,,,,,POINT (4.315396 52.0786275),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,632856694,restaurant,,,Leopold,,,https://www.caferestaurantleopold.nl/,no,POINT (4.3165294 52.0799652),,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,669897908,restaurant,,,Giorgio,,,,,POINT (4.2450555 52.0667019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,691874871,restaurant,,,Keromina,,,,,POINT (4.2973191 52.019328),,,,,,,shawarma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,727931444,restaurant,,,Roti Center Ypenburg,,,,,POINT (4.3692553 52.0418017),'s-Gravenhage,,55,2496SG,Steentijdsingel,,roti,BAG;survey,2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737990064,restaurant,,,Vapiano,,,http://www.vapiano.de/frame.php?section=locations&lang=nl&sub=nldh1,,POINT (4.309511 52.0787942),'s-Gravenhage,,45-51,2513AH,Buitenhof,,italian,,,,,Vapiano,Q506252,en:Vapiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737990072,restaurant,,,Bit,,,,,POINT (4.3099113 52.0789787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,737990074,restaurant,,,Umami,,,http://www.umami-restaurant.com/,,POINT (4.3096186 52.0789113),'s-Gravenhage,,46,2513AH,Buitenhof,,asian,BAG,2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
